Cost center number,Cost center name,Region,Cost category,timestamp,currency code,amount
6003,Marketing Operations,North America,Salaries,2023-08-03 13:29:56,SGD,98896
2238,Finance,Europe,Commissions,2023-08-01 04:36:18,JPY,451735
1059,IT Infrastructure,Europe,Salaries,2023-08-02 12:23:22,ARS,318535
3935,IT Infrastructure,North America,Salaries,2023-08-03 05:36:53,ARS,596813
4476,Sales Operations,Europe,Benefits,2023-08-03 04:02:44,GBP,510020
3075,Human Resources,South America,Commissions,2023-08-03 03:54:51,GBP,122070
6473,Human Resources,South America,Advertising,2023-08-02 22:32:59,ARS,907685
9532,Marketing Operations,Asia Pacific,Benefits,2023-08-03 09:15:05,USD,822061
5607,IT Infrastructure,Asia Pacific,Supplies,2023-08-02 22:01:19,USD,988005
7394,Research & Development,North America,Professional Services,2023-08-03 22:04:41,SGD,40160
2592,Sales Operations,Asia Pacific,Advertising,2023-08-01 17:45:59,BRL,594572
1186,Human Resources,Asia Pacific,Supplies,2023-08-01 12:54:45,EUR,912556
7551,Human Resources,Europe,Benefits,2023-08-03 01:32:42,ARS,675879
7420,Sales Operations,Europe,Hardware,2023-08-02 15:17:58,ARS,774732
3267,Sales Operations,North America,Commissions,2023-08-01 19:53:58,ARS,339934
2009,Marketing Operations,Europe,Benefits,2023-08-02 08:50:37,SGD,488331
3994,Research & Development,Europe,Commissions,2023-08-01 21:50:19,ARS,440609
9770,IT Infrastructure,North America,Advertising,2023-08-02 03:13:03,GBP,346628
8532,Marketing Operations,North America,Travel,2023-08-01 03:18:07,SGD,734617
2826,Research & Development,Europe,Commissions,2023-08-02 13:43:09,BRL,973015
2683,Finance,Europe,Supplies,2023-08-01 10:01:16,JPY,760776
9992,IT Infrastructure,North America,Supplies,2023-08-03 08:12:06,BRL,775763
9527,Human Resources,Asia Pacific,Benefits,2023-08-03 11:48:45,GBP,500781
3261,IT Infrastructure,South America,Advertising,2023-08-02 14:44:51,JPY,880733
4162,Sales Operations,North America,Software,2023-08-02 22:14:25,EUR,829537
9515,Sales Operations,North America,Benefits,2023-08-02 10:17:51,SGD,432646
4548,Marketing Operations,North America,Travel,2023-08-01 17:34:05,GBP,214080
8495,Finance,South America,Travel,2023-08-01 20:31:54,SGD,294099
8518,Sales Operations,Europe,Supplies,2023-08-03 23:10:11,JPY,583475
6922,Finance,Europe,Benefits,2023-08-02 10:20:05,EUR,724020
6731,Research & Development,North America,Hardware,2023-08-02 17:42:17,ARS,157580
7367,Sales Operations,Asia Pacific,Hardware,2023-08-03 18:56:36,BRL,99737
7381,Human Resources,North America,Travel,2023-08-02 10:29:07,EUR,400686
2524,Marketing Operations,Europe,Supplies,2023-08-03 10:11:47,BRL,256744
1856,Sales Operations,South America,Professional Services,2023-08-02 00:32:36,SGD,196478
4736,Research & Development,South America,Software,2023-08-03 23:05:15,GBP,808178
3104,Research & Development,Europe,Commissions,2023-08-02 17:48:06,SGD,646745
3857,Research & Development,Asia Pacific,Advertising,2023-08-02 20:38:11,GBP,811896
6357,Sales Operations,Europe,Salaries,2023-08-01 08:09:31,JPY,51070
6277,Marketing Operations,South America,Commissions,2023-08-02 19:27:33,ARS,333270
5505,Sales Operations,South America,Travel,2023-08-01 13:40:28,EUR,627663
9474,Human Resources,South America,Professional Services,2023-08-02 13:08:41,ARS,137670
7183,IT Infrastructure,Asia Pacific,Professional Services,2023-08-01 16:42:46,SGD,341169
6763,Sales Operations,Asia Pacific,Software,2023-08-02 21:52:27,ARS,886712
6089,Research & Development,South America,Commissions,2023-08-03 23:24:16,SGD,430599
7850,Sales Operations,South America,Hardware,2023-08-02 00:30:14,EUR,850664
3878,Research & Development,South America,Benefits,2023-08-01 03:59:33,JPY,292370
5129,IT Infrastructure,Europe,Benefits,2023-08-03 16:59:54,ARS,711248
2340,IT Infrastructure,Europe,Supplies,2023-08-02 13:49:09,GBP,449828
3840,IT Infrastructure,Asia Pacific,Professional Services,2023-08-02 07:07:00,USD,257701
4895,Research & Development,Europe,Commissions,2023-08-02 05:34:31,BRL,385863
3885,Research & Development,North America,Hardware,2023-08-01 16:19:01,USD,53089
1472,Research & Development,South America,Professional Services,2023-08-02 14:14:03,GBP,839844
6650,Marketing Operations,Europe,Hardware,2023-08-02 22:43:59,EUR,468942
6811,Sales Operations,Europe,Travel,2023-08-03 09:05:54,ARS,84217
6804,Marketing Operations,North America,Supplies,2023-08-02 09:50:56,ARS,247319
1866,Research & Development,North America,Commissions,2023-08-01 06:25:14,SGD,945438
5297,Human Resources,Europe,Hardware,2023-08-02 07:21:50,SGD,521007
2400,Marketing Operations,Asia Pacific,Professional Services,2023-08-02 12:16:50,ARS,367995
9506,IT Infrastructure,Asia Pacific,Hardware,2023-08-01 22:29:53,ARS,873293
4471,IT Infrastructure,Europe,Commissions,2023-08-01 13:21:27,GBP,979702
8517,Sales Operations,South America,Commissions,2023-08-03 00:23:25,EUR,206509
8706,Marketing Operations,Europe,Professional Services,2023-08-01 11:03:10,BRL,312201
2708,Finance,Europe,Hardware,2023-08-01 20:23:08,BRL,949262
4033,IT Infrastructure,Asia Pacific,Software,2023-08-03 07:05:20,SGD,346672
7172,Research & Development,Europe,Travel,2023-08-02 18:10:19,BRL,938871
3828,Sales Operations,Europe,Salaries,2023-08-01 13:52:28,EUR,127437
5151,Marketing Operations,South America,Commissions,2023-08-03 02:23:32,USD,818202
7003,Sales Operations,North America,Supplies,2023-08-01 04:04:25,BRL,412558
7215,Sales Operations,Europe,Commissions,2023-08-01 15:38:11,SGD,427929
6267,Finance,North America,Professional Services,2023-08-03 22:56:15,EUR,540728
9210,Human Resources,Europe,Benefits,2023-08-03 01:17:52,EUR,95297
5151,Marketing Operations,Europe,Hardware,2023-08-02 08:04:58,JPY,156035
4690,Research & Development,Europe,Professional Services,2023-08-02 21:56:46,USD,971093
2224,Finance,Europe,Hardware,2023-08-03 05:39:22,BRL,456390
9401,Human Resources,South America,Software,2023-08-01 02:31:57,EUR,246844
5510,IT Infrastructure,Asia Pacific,Commissions,2023-08-02 06:23:50,JPY,217744
5464,Sales Operations,Europe,Professional Services,2023-08-02 08:48:26,EUR,537352
6361,Research & Development,Europe,Benefits,2023-08-02 02:54:55,GBP,507498
6758,Human Resources,Europe,Software,2023-08-02 10:36:34,JPY,177371
6863,IT Infrastructure,North America,Travel,2023-08-02 11:30:56,GBP,995468
4800,Marketing Operations,Asia Pacific,Benefits,2023-08-01 06:07:27,SGD,193252
5058,IT Infrastructure,North America,Hardware,2023-08-03 18:02:43,BRL,63626
6765,Research & Development,Asia Pacific,Commissions,2023-08-03 09:52:21,ARS,21698
9774,Human Resources,North America,Hardware,2023-08-02 11:04:34,ARS,135390
2331,Human Resources,South America,Supplies,2023-08-02 09:44:14,USD,357290
5746,Marketing Operations,Europe,Supplies,2023-08-01 08:37:05,JPY,80251
5910,Marketing Operations,North America,Advertising,2023-08-01 21:24:44,EUR,833414
2387,Sales Operations,South America,Supplies,2023-08-02 13:47:06,SGD,225675
5655,Finance,Asia Pacific,Salaries,2023-08-01 03:52:48,ARS,939492
2931,Marketing Operations,Europe,Salaries,2023-08-03 18:50:45,JPY,211100
9224,Human Resources,Asia Pacific,Travel,2023-08-01 14:35:56,SGD,58655
5425,Sales Operations,Europe,Software,2023-08-02 05:38:13,SGD,687700
7570,Sales Operations,Asia Pacific,Supplies,2023-08-02 06:35:09,ARS,213592
5153,Research & Development,South America,Software,2023-08-03 12:08:50,SGD,616605
9834,Finance,South America,Commissions,2023-08-01 10:33:32,BRL,761397
6579,Sales Operations,South America,Commissions,2023-08-01 07:18:09,USD,526210
8022,Human Resources,Asia Pacific,Advertising,2023-08-01 20:44:15,USD,827810
4363,Human Resources,Europe,Commissions,2023-08-01 08:31:32,GBP,454821
4355,Finance,Europe,Benefits,2023-08-02 14:02:52,JPY,620807
8075,Sales Operations,South America,Salaries,2023-08-03 09:37:54,EUR,870659
9845,Human Resources,Europe,Travel,2023-08-02 02:06:41,JPY,880038
2745,Research & Development,North America,Hardware,2023-08-03 03:25:07,EUR,137373
5854,Sales Operations,Europe,Commissions,2023-08-01 13:24:31,USD,867981
7575,Human Resources,South America,Advertising,2023-08-01 04:11:37,GBP,549304
4197,Sales Operations,South America,Hardware,2023-08-03 18:57:43,USD,56398
5278,Research & Development,Europe,Hardware,2023-08-03 17:13:55,EUR,57201
2803,IT Infrastructure,Europe,Benefits,2023-08-03 05:16:06,USD,698288
4851,Sales Operations,North America,Salaries,2023-08-03 16:11:38,GBP,838347
6976,IT Infrastructure,Asia Pacific,Advertising,2023-08-03 09:01:38,GBP,725711
8167,Sales Operations,North America,Professional Services,2023-08-02 04:13:12,JPY,72616
9167,Human Resources,Europe,Salaries,2023-08-03 02:50:11,USD,130718
5999,IT Infrastructure,North America,Salaries,2023-08-03 00:26:03,ARS,160610
3032,IT Infrastructure,Asia Pacific,Supplies,2023-08-01 08:46:09,SGD,800216
8223,IT Infrastructure,Europe,Professional Services,2023-08-02 20:47:23,SGD,533632
6442,Human Resources,Europe,Commissions,2023-08-03 00:34:05,GBP,823287
1241,Finance,North America,Software,2023-08-03 18:31:52,USD,463077
7256,Human Resources,Europe,Software,2023-08-03 22:56:39,ARS,921573
8850,Finance,Asia Pacific,Software,2023-08-01 07:20:24,BRL,54759
8872,Research & Development,Asia Pacific,Travel,2023-08-03 08:40:13,SGD,651861
7903,Marketing Operations,South America,Advertising,2023-08-02 01:11:10,USD,872559
4323,Marketing Operations,Asia Pacific,Professional Services,2023-08-01 02:07:56,JPY,429437
7516,IT Infrastructure,North America,Benefits,2023-08-02 17:15:15,BRL,671489
3909,Finance,North America,Advertising,2023-08-03 01:18:00,USD,365054
4608,Marketing Operations,Asia Pacific,Software,2023-08-02 03:07:09,USD,323017
5095,IT Infrastructure,North America,Advertising,2023-08-03 18:22:41,USD,471300
8218,Research & Development,North America,Software,2023-08-01 02:19:38,USD,349338
3800,Research & Development,Asia Pacific,Hardware,2023-08-02 06:38:25,BRL,25502
7207,Finance,Asia Pacific,Professional Services,2023-08-01 20:32:02,JPY,751620
8171,Marketing Operations,North America,Travel,2023-08-03 14:23:04,ARS,93351
5306,Sales Operations,Asia Pacific,Advertising,2023-08-01 12:22:36,ARS,865068
5435,Research & Development,Europe,Professional Services,2023-08-02 13:13:38,USD,366340
2393,Marketing Operations,Asia Pacific,Professional Services,2023-08-03 12:27:03,SGD,161856
8611,Finance,Asia Pacific,Travel,2023-08-03 04:52:10,EUR,309598
5254,IT Infrastructure,North America,Software,2023-08-01 18:13:47,ARS,639699
7212,Marketing Operations,Asia Pacific,Hardware,2023-08-03 04:12:10,EUR,277883
4618,Research & Development,South America,Professional Services,2023-08-01 02:58:52,SGD,580698
3240,Human Resources,South America,Travel,2023-08-02 07:45:14,JPY,519916
4923,Finance,South America,Supplies,2023-08-01 08:30:03,SGD,306767
5721,IT Infrastructure,South America,Advertising,2023-08-02 15:05:33,BRL,941109
9870,IT Infrastructure,South America,Software,2023-08-01 10:51:29,EUR,107005
1149,Marketing Operations,Asia Pacific,Supplies,2023-08-02 04:46:24,JPY,394245
4196,Sales Operations,Europe,Hardware,2023-08-02 23:23:13,ARS,424507
8255,Sales Operations,Asia Pacific,Hardware,2023-08-02 11:02:03,GBP,626510
9065,IT Infrastructure,Asia Pacific,Software,2023-08-01 12:39:39,SGD,872271
8123,Human Resources,North America,Travel,2023-08-01 10:04:28,GBP,63361
1254,Finance,Asia Pacific,Travel,2023-08-02 12:27:07,SGD,701832
9908,Finance,South America,Salaries,2023-08-02 21:58:23,EUR,790032
6352,IT Infrastructure,Asia Pacific,Software,2023-08-02 13:07:27,GBP,7959
1225,Finance,Europe,Software,2023-08-02 05:48:46,SGD,416633
7325,IT Infrastructure,North America,Salaries,2023-08-01 12:16:35,BRL,135009
3128,Finance,Europe,Travel,2023-08-02 06:38:06,GBP,551709
4689,Research & Development,North America,Advertising,2023-08-03 06:16:41,SGD,452071
6496,Sales Operations,Europe,Supplies,2023-08-02 18:51:48,USD,265676
7726,Research & Development,Europe,Travel,2023-08-01 15:44:15,EUR,412534
5846,IT Infrastructure,Asia Pacific,Professional Services,2023-08-03 10:16:51,USD,592728
8328,Marketing Operations,South America,Benefits,2023-08-02 14:38:01,BRL,174435
7594,Finance,Europe,Professional Services,2023-08-03 00:57:08,JPY,480445
4339,Sales Operations,South America,Hardware,2023-08-01 09:25:48,ARS,61438
5359,Finance,South America,Advertising,2023-08-01 15:29:39,ARS,88025
9743,Human Resources,North America,Supplies,2023-08-03 10:59:15,JPY,320434
6683,Finance,North America,Supplies,2023-08-03 11:00:46,BRL,170672
1118,Marketing Operations,South America,Software,2023-08-03 20:52:56,JPY,523023
3101,Finance,South America,Benefits,2023-08-01 14:20:52,JPY,241811
3799,Finance,North America,Hardware,2023-08-01 10:37:53,BRL,204093
2234,Finance,North America,Software,2023-08-02 07:53:47,SGD,761092
9511,IT Infrastructure,South America,Professional Services,2023-08-03 10:57:36,USD,420738
2949,Marketing Operations,Europe,Advertising,2023-08-02 02:38:05,SGD,50340
3203,Finance,Asia Pacific,Travel,2023-08-03 03:26:15,BRL,328319
1082,IT Infrastructure,Asia Pacific,Commissions,2023-08-03 11:56:53,GBP,397635
8578,Research & Development,Asia Pacific,Salaries,2023-08-01 23:25:16,GBP,486788
9981,Research & Development,Asia Pacific,Software,2023-08-01 00:39:27,SGD,602270
2605,IT Infrastructure,Asia Pacific,Professional Services,2023-08-01 04:11:34,ARS,74072
8183,IT Infrastructure,Europe,Software,2023-08-03 23:25:14,ARS,602167
4655,Sales Operations,South America,Benefits,2023-08-03 20:27:08,ARS,808134
4888,IT Infrastructure,North America,Benefits,2023-08-03 16:29:26,SGD,548638
5531,Sales Operations,Asia Pacific,Hardware,2023-08-01 03:37:57,GBP,920962
2126,IT Infrastructure,Asia Pacific,Benefits,2023-08-02 20:23:02,JPY,864527
5280,Sales Operations,South America,Supplies,2023-08-02 07:23:03,JPY,817850
2760,IT Infrastructure,North America,Benefits,2023-08-02 02:46:06,GBP,627521
9803,Sales Operations,South America,Supplies,2023-08-01 05:20:30,BRL,313638
9834,Marketing Operations,Europe,Supplies,2023-08-01 16:08:16,USD,580553
2483,Sales Operations,South America,Professional Services,2023-08-01 13:41:40,JPY,541316
9444,Research & Development,South America,Professional Services,2023-08-02 00:13:27,GBP,972691
1015,Research & Development,North America,Hardware,2023-08-01 06:31:06,USD,963085
3175,Finance,South America,Hardware,2023-08-01 20:11:54,BRL,302463
2828,Marketing Operations,South America,Hardware,2023-08-02 13:54:33,SGD,427785
9861,Finance,Asia Pacific,Supplies,2023-08-03 12:18:33,ARS,477107
5280,Sales Operations,Europe,Travel,2023-08-02 06:44:49,SGD,264979
2915,Sales Operations,Asia Pacific,Hardware,2023-08-01 09:30:41,JPY,796806
3683,IT Infrastructure,South America,Salaries,2023-08-03 14:55:03,SGD,266927
8780,Research & Development,North America,Benefits,2023-08-03 09:57:53,EUR,735479
6140,Marketing Operations,South America,Professional Services,2023-08-01 16:56:06,USD,407793
7792,IT Infrastructure,South America,Advertising,2023-08-02 17:10:12,EUR,138238
4202,IT Infrastructure,North America,Benefits,2023-08-03 01:30:39,ARS,154502
7145,Sales Operations,Asia Pacific,Supplies,2023-08-01 11:20:54,USD,980665
9943,Research & Development,South America,Commissions,2023-08-03 10:42:01,GBP,191460
3927,Research & Development,Europe,Commissions,2023-08-03 23:47:45,JPY,236671
9549,IT Infrastructure,Asia Pacific,Benefits,2023-08-02 09:24:34,EUR,796960
1736,Marketing Operations,South America,Salaries,2023-08-02 17:02:36,USD,991244
4956,IT Infrastructure,North America,Salaries,2023-08-02 07:17:25,JPY,947762
3427,Marketing Operations,Europe,Travel,2023-08-03 19:41:39,EUR,612965
6457,Sales Operations,North America,Hardware,2023-08-01 12:41:52,SGD,502750
7898,Finance,North America,Supplies,2023-08-03 14:46:02,JPY,292176
8748,Human Resources,Asia Pacific,Commissions,2023-08-02 13:08:57,BRL,88430
6073,Human Resources,South America,Supplies,2023-08-02 16:29:37,GBP,371356
3634,Marketing Operations,Europe,Travel,2023-08-01 22:58:57,BRL,754003
5013,IT Infrastructure,North America,Benefits,2023-08-02 05:52:00,ARS,816923
5458,Sales Operations,Europe,Salaries,2023-08-03 19:12:14,GBP,997298
1586,IT Infrastructure,Asia Pacific,Travel,2023-08-01 08:02:47,BRL,296024
9099,Human Resources,North America,Software,2023-08-03 09:56:03,USD,146080
5731,Human Resources,Europe,Advertising,2023-08-01 21:54:48,SGD,935995
8864,IT Infrastructure,Asia Pacific,Professional Services,2023-08-01 23:18:16,JPY,706397
2980,Finance,North America,Professional Services,2023-08-02 04:12:33,JPY,439030
9006,IT Infrastructure,North America,Advertising,2023-08-03 07:39:01,BRL,145007
1792,Research & Development,South America,Supplies,2023-08-01 19:59:38,ARS,585974
4680,Marketing Operations,Europe,Benefits,2023-08-01 08:58:26,BRL,324815
9219,Sales Operations,Asia Pacific,Software,2023-08-02 21:46:00,SGD,716249
8559,Sales Operations,North America,Supplies,2023-08-02 09:43:50,JPY,26817
9023,IT Infrastructure,Asia Pacific,Benefits,2023-08-02 19:30:01,EUR,214474
4134,Sales Operations,South America,Software,2023-08-01 04:15:17,BRL,156248
8834,IT Infrastructure,Asia Pacific,Advertising,2023-08-01 14:03:00,ARS,708150
9517,Human Resources,Europe,Software,2023-08-01 08:37:21,JPY,628779
1849,IT Infrastructure,Europe,Travel,2023-08-01 16:59:02,USD,495148
1508,Sales Operations,South America,Salaries,2023-08-01 23:59:57,JPY,830294
7340,Marketing Operations,Europe,Salaries,2023-08-03 01:41:37,GBP,965323
8653,Human Resources,Europe,Hardware,2023-08-01 04:02:07,EUR,286372
8638,Sales Operations,Asia Pacific,Commissions,2023-08-01 03:12:04,BRL,573285
5337,Sales Operations,Europe,Benefits,2023-08-03 04:47:10,ARS,348616
4750,Finance,South America,Salaries,2023-08-03 22:41:03,JPY,904278
9790,IT Infrastructure,North America,Software,2023-08-03 08:34:18,GBP,612874
7860,Marketing Operations,South America,Software,2023-08-01 09:20:26,USD,283141
5003,Sales Operations,North America,Software,2023-08-03 13:04:02,GBP,947380
4465,Marketing Operations,South America,Salaries,2023-08-02 06:56:30,BRL,604026
5800,Sales Operations,North America,Benefits,2023-08-01 05:50:21,EUR,740402
7865,IT Infrastructure,South America,Salaries,2023-08-03 07:04:01,BRL,116231
7279,Marketing Operations,North America,Advertising,2023-08-01 10:24:32,GBP,414005
7756,Marketing Operations,Asia Pacific,Software,2023-08-01 19:28:35,USD,710808
9816,Human Resources,Europe,Professional Services,2023-08-02 17:59:18,JPY,449300
6527,Finance,North America,Hardware,2023-08-03 15:27:19,BRL,711485
9679,Sales Operations,Asia Pacific,Advertising,2023-08-03 22:38:35,USD,856542
3231,Finance,Asia Pacific,Salaries,2023-08-02 04:57:05,JPY,875267
3651,Marketing Operations,Asia Pacific,Software,2023-08-03 17:17:02,USD,709953
8111,Human Resources,Europe,Software,2023-08-01 16:39:47,BRL,996474
6105,IT Infrastructure,Europe,Supplies,2023-08-02 06:39:27,JPY,555086
9082,IT Infrastructure,Europe,Hardware,2023-08-03 18:28:36,ARS,783129
1640,Human Resources,North America,Advertising,2023-08-03 18:09:52,ARS,757268
1649,Finance,North America,Advertising,2023-08-02 04:35:41,EUR,658857
2303,Finance,Asia Pacific,Software,2023-08-01 04:42:11,JPY,330076
8423,Marketing Operations,North America,Benefits,2023-08-03 03:16:23,BRL,335270
4477,Sales Operations,Europe,Travel,2023-08-03 11:01:03,EUR,217258
5965,Marketing Operations,South America,Professional Services,2023-08-02 06:04:51,SGD,45859
9336,Marketing Operations,Europe,Supplies,2023-08-03 00:44:40,SGD,760785
3427,Sales Operations,Asia Pacific,Supplies,2023-08-01 23:39:13,GBP,163671
4227,Human Resources,South America,Salaries,2023-08-03 10:08:17,JPY,338252
9407,Sales Operations,Europe,Advertising,2023-08-02 00:08:53,JPY,393915
7098,Sales Operations,Europe,Travel,2023-08-02 05:33:05,GBP,267574
6159,Human Resources,Asia Pacific,Travel,2023-08-03 22:34:06,BRL,10164
3314,Marketing Operations,Europe,Commissions,2023-08-02 13:15:17,EUR,553424
5474,Research & Development,North America,Professional Services,2023-08-03 09:05:03,BRL,695576
8138,Research & Development,Europe,Software,2023-08-02 19:43:30,SGD,935975
9282,Finance,Europe,Professional Services,2023-08-02 07:33:01,EUR,621646
4569,IT Infrastructure,South America,Supplies,2023-08-01 07:24:36,USD,301509
1863,Human Resources,South America,Salaries,2023-08-02 10:56:00,EUR,418289
4901,Marketing Operations,North America,Supplies,2023-08-02 00:43:29,USD,563909
1297,Research & Development,North America,Professional Services,2023-08-01 03:38:08,EUR,838010
1797,IT Infrastructure,Europe,Advertising,2023-08-03 08:43:10,EUR,568925
7977,Sales Operations,South America,Hardware,2023-08-03 03:29:58,ARS,585707
2284,Finance,Europe,Advertising,2023-08-03 21:34:42,BRL,723912
5356,Sales Operations,Europe,Benefits,2023-08-03 18:16:42,EUR,677253
1447,Marketing Operations,Europe,Software,2023-08-03 09:24:21,JPY,832539
1735,Marketing Operations,North America,Advertising,2023-08-03 13:22:13,GBP,68989
9999,Marketing Operations,North America,Hardware,2023-08-02 19:54:13,JPY,742202
8827,IT Infrastructure,North America,Hardware,2023-08-03 18:38:23,JPY,817672
1345,Sales Operations,Europe,Commissions,2023-08-03 23:09:59,SGD,497848
